"New.Names.for.Pdfs","Foreword","Introduction","Executive.Summary","Preface","Conclusion","Does.renamed.file.exist.in.z_oursample..Yes..no","US.EU.UN","Comments.Questions.","Name.NVIVO.May.24","Fully.coded","Executive.Coded","Main.Theme","page.length.","OCR.done","Fix.Pipeline","Fix.women","Fix.organizations","Fix.structure","Fix.culture","fix.knowledge","fix.problems","Author","Year","Title","Location","Institution","Publisher","Department","Department.1","NA."
"AAUW_2013",NA,"AAUW_2013_intro",NA,NA,"AAUW_2013_Concl","yes","US","0","AAUW_2013","0","0",1,10,"0",1,1,0,0,0,0,0,"0",2013,"Improve Girls' and Women's Opportunities in Science, Technology, Engineering, and Math","Washington, DC","American Association of University Women (AAUW)","American Association of University Women (AAUW)","AAUW Public Policy and Government Relations Department","0",NA
"AL_2007",NA,"AL_2007_intro","AL_2007_exec",NA,"AL_2007_concl","yes","EU","0","0","0","0",1,6,"0",0,0,1,0,0,1,0,"Ledin, A., Bornmann, L., Gannon, F. and Wallon, G.",2007,"A persistent problem. Traditional gender roles hold back female scientists.","Heidelberg, Germany","European Molecular Biology Organization (EMBO)","European Molecular Biology Organization Press","0","0",NA
"EC_2012d",NA,NA,"EC_2012d_exec",NA,"EC_2012d_concl","yes","EU","0","0","0","0",1,6,"0",0,0,1,0,0,1,0,"0",2012,"Developing Systematic Implementation Strategy to Advance EU Policy on Gender Equality in Science, as part of HORIZON 2020, European Research Area and Innovation Union","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2014",NA,NA,"EC_2014_exec",NA,NA,"yes","EU","0","0","0","0",1,4,"0",1,0,1,0,0,1,0,"0",2014,"Research and Innovation Quality through Equality From Ideas to Markets: Excellence in mainstreaming gender into research, innovation, and policy","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","0",NA
"EC_2015g",NA,"EC_2015g_intro","EC_2015g_exec",NA,"EC_2015g_concl","yes","EU","0","0","0","0",1,14,"0",0,0,0,0,0,1,0,"0",2015,"For a better integration of the gender dimension in Horizon 2020 Work Programme 2016-2017","Brussels, Belgium","European Commission","Office for Official Publications of the European Communities","0","AAUW Public Policy and Government Relations Department",NA
"MIT_1999","MIT_1999_fore","MIT_1999_intro","MIT_1999_exec",NA,"MIT_1999_concl","yes","US","0","MIT_1999","0","Annie",1,0,"0",1,0,1,0,0,0,0,"Chisholm, Sallie W., Friedman, Jerome I., Hopkins, Nancy, Kleitman, Daniel, Matthews, June L., Potter, Mary C. , Rizzoli, Paola M., Royden, Leigh, Silbey, Robert J., Stubbe, JoAnne, Ceyer, Sylvia T., Chisholm, Sallie W., Friedman, Jerome I., Hewitt, Jacqueline N. and Hodges, Kip V.",1999,"A study of the status of women faculty in science at MIT: how a Committee on Women Faculty came to be established by the Dean of the School of Science, what the Committee and the Dean learned and accomplished, and recommendations for the future","Cambridge, Massachusetts","Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Committee on Women Faculty. Massachusetts Institute of Technology (MIT)","0",NA
"NCWGE_2012",NA,"NCWGE_2012_intro","NCWGE_2012_exec",NA,"NCWGE_2012_concl","yes","US","0","NCWGE_2012","FSV","0",1,10,"0",1,1,0,0,0,0,0,"0",2012,"Science, Technology, Engineering, and Mathematics (STEM): Equality Narrows the Achievement Gap","Washington, DC","National Coalition for Women and Girls in Education (NCWGE)","National Coalition for Women and Girls in Education (NCWGE)","0","Center for Policy Analysis",NA
"UN_1998",NA,"UN_1998_intro",NA,NA,"UN_1998_concl","yes","INT","0","UNESCO_1998a","0","Annie",1,10,"no",1,0,1,1,0,1,1,"0",1998,"Women, Science and Technology in Latin America: Diagnoses and Strategies (Final Report)","Bariloche, Argentina","United Nations Educational, Scientific and Cultural Organization (UNESCO)","United Nations Publications","0","0",NA
"UN_2002b",NA,"UN_2002b_intro",NA,NA,"UN_2002b_concl","yes","INT","0","UN_2002b","0","0",1,0,"1",0,0,1,1,0,1,0,"Hafkin, Nancy",2002,"Gender Issues in ICT Policy in Developing Countries: An Overview","Geneva, Switzerland","United Nations Division for the Advancement of Women (DAW)","United Nations Publications","0","0",NA
"UN_2006b",NA,NA,"UN_2006b_exec",NA,NA,"yes","INT","0","UNESCO_2006","0","0",1,7,"0",1,0,1,1,0,0,0,"Huyer, Sophia",2006,"The Gender Working Group Transformative Action Areas: Then and Now","Geneva, Switzerland","UN Gender Advisory Board","United Nations Publications","Commission on Science and Technology for Development","0",NA
